id#collection#dc.identifier.isbn#dc.contributor.author#dc.title.alternative#dc.title#dc.publisher[en_US]#dc.citation.volume#dc.citation.number#dc.citation.pages#dc.date.issued#dc.relation#dc.relation.ispartofseries#dc.contributor.editor#dc.description[en_US]#dc.subject
+#123/1142##Ait Mohamed, Otmane||A. Munhoz, Cesar||Tahar, Sofiene#21th International Conference, TPHOLs 2008#Theorem Proving in Higher Order Logics####1--319#2008#####
+#123/1142##Alekseyev, Max A A||Pevzner, Pavel A A##Breakpoint graphs and ancestral genome reconstructions.#Genome research####2009#http://dx.doi.org/10.1101/gr.082784.108###Recently completed whole-genome sequencing projects marked the transition from gene-based phylogenetic studies to phylogenomics analysis of entire genomes. We developed an algorithm MGRA for reconstructing ancestral genomes and used it to study the rearrangement history of seven mammalian genomes: human, chimpanzee, macaque, mouse, rat, dog, and opossum. MGRA relies on the notion of the multiple breakpoint graphs to overcome some limitations of the existing approaches to ancestral genome reconstructions. MGRA also generates the rearrangement-based characters guiding the phylogenetic tree reconstruction when the phylogeny is unknown.#phylogeny||oncogenetic
+#123/1142##Alsolaim, Ahmad||Becker, Jürgen||Glesner, Manfred||Starzyk, Janusz##Architecture and Application of a Dynamically Reconfigurable Hardware Array for Future Mobile Communication Systems####205--214#2000#####
+#123/1142##Altenkirch, Thorsten||Mcbride, Conor||Mckinna, James#In preparation, http://www.e-pig.org/downloads/ydtm.pdf#Why dependent types matter#####2005#####
+#123/1142##Alvarenga Gajo, Cristiane##Dinamica das pregas vocais para o modelo de duas massas####1--58#2004#####
+#123/1142##Alves Fernandes, Valnei##Detec\ccao e Resolu\ccao Formal de Conflitos de Trafego Aereo####1--73#2004#####
+#123/1142##Ancona, Davide||Damiani, Ferruccio||Drossopoulou, Sophia||Zucca, Elena##Polymorphic Bytecode: Compositional Compilation for Java-like Languages#SIGPLAN Not., ACM#40#1#26--37#2005#http://doi.acm.org/10.1145/1047659.1040308####typesystems||composition alanalysis
+#123/1142#1-58113-729-X#Ancona, Davide||Zucca, Elena#Proceedings of the 31st ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages#Principal Typings for Java-like Languages#ACM###306--317#2004#http://doi.acm.org/10.1145/964001.964027#POPL '04###principal typings||selective recompilation||Java-like languages
+#123/1142##Angluin, Dana||Smith, Carl H##Inductive Inference: Theory and Methods#ACM Comput. Surv.#15#3#237--269#1983#http://doi.acm.org/10.1145/356914.356918####
+#123/1142##Apel, Sven||Kästner, Christian||Gröblinger, Armin||Lengauer, Christian##Type Safety for Feature-oriented Product Lines#Automated Software Engg., Kluwer Academic Publishers#17#3#251--300#2010#http://dx.doi.org/10.1007/s10515-010-0066-8####Feature-oriented programming||Safe composition||Software productlines||Type systems||Feature featherweight Java
+#123/1142#1-58113-148-8#Appel, Andrew W||Felten, Edward W#Proceedings of the 6th ACM Conference on Computer and Communications Security#Proof-carrying Authentication#ACM###52--62#1999#http://doi.acm.org/10.1145/319709.319718#CCS '99###
+#123/1142##Arbiser, Ariel##Sistemas y Subsistemas de Sustituciones Explicitas####1--305#2005#####
+#123/1142##Archer, Myla||Di Vito, Ben||Munoz, Cesar##Developing User Strategies in PVS: A Tutorial####1--27#2003#####
+#123/1142##Arilelly de Lima, Thaynara||Ayala-Rincón, Mauricio##Complexity of Reversal Distance and other General Metrics on Permutation Groups####1--10######
+#123/1142##Arlazarov, V L||Dinic, E A||Kronrod, M A||Faradvzev, I A##On economical construction of the transitive closure of a directed graph#Soviet Mathematics---Doklady#11#5#1209--1210#1970####English translation of \{$\backslash$textit\{Doklady Akademii Nauk SSSR\}\}, 194(3):487--488, 1970.#
+#123/1142##Armando, Alessandro||Baumgartener, Peter||Dowek, Gilles#4th International Joint Conference, IJCAR 2008#Automated Reasoning####1--556#2008#####
+#123/1142#978-3-540-74620-1#Arnaud, Mathilde||Cortier, Véronique||Delaune, Stéphanie#FroCoS#Combining Algorithms for Deciding Knowledge in Security Protocols.#Springer#4720##103--117#2007#"http://dblp.uni-trier.de/db/conf/frocos/frocos2007.html\#ArnaudCD07"#Lecture Notes in Computer Science#Konev, Boris & Wolter, Frank##
+#123/1142##Arvind||Shen, Xiaowei##Using Term Rewriting Systems to Design and Verify Processors#IEEE Micro, IEEE Computer Society Press#19#3#1--14#1999#http://dx.doi.org/10.1109/40.768501####
+#123/1142#978-3-540-77565-2#Arvind, Vikraman||Joglekar, Pushkar S#SOFSEM#Algorithmic Problems for Metrics on Permutation Groups.#Springer#4910##136--147#2008#"http://dblp.uni-trier.de/db/conf/sofsem/sofsem2008.html\#ArvindJ08"#Lecture Notes in Computer Science#Geffert, Viliam; Karhumäki, Juhani; Bertoni, Alberto; Preneel, Bart; Návrat, Pavol & Bieliková, Mária##
+#123/1142##Astrachan, Owen##Bubble sort: an archaeological algorithmic analysis#SIGCSE Bull., ACM#35#1#1--5#2003#http://portal.acm.org/citation.cfm?id=611918###"Text books, including books for general audiences, invariably mention bubble sort in discussions of elementary sorting algorithms. We trace the history of bubble sort, its popularity, and its endurance in the face of pedagogical assertions that code and algorithmic examples used in early courses should be of high quality and adhere to established best practices. This paper is more an historical analysis than a philosophical treatise for the exclusion of bubble sort from books and courses. However, sentiments for exclusion are supported by Knuth [17], ""In short, the bubble sort seems to have nothing to recommend it, except a catchy name and the fact that it leads to some interesting theoretical problems."" Although bubble sort may not be a best practice sort, perhaps the weight of history is more than enough to compensate and provide for its longevity."#
+#123/1142#3540654313#Ausiello, Giorgio||Protasi, M||Marchetti-Spaccamela, A||Gambosi, G||Crescenzi, P||Kann, V##Complexity and Approximation: Combinatorial Optimization Problems and Their Approximability Properties#Springer-Verlag New York, Inc.###1--524#1999#####
+#123/1142##Auyeung, Andy||Abraham, Ajith##Estimating Genome Reversal Distance by Genetic Algorithm#CoRR#cs.AI/0405###2004#"http://dblp.uni-trier.de/db/journals/corr/corr0405.html\#cs-AI-0405014"####
+#123/1142##Avenhaus Universitit Kaiserslautern, SEKI-Projekt,, Jorgen##Transforming infinite rewrite systems into finite rewrite systems by embedding techniques#Fachbereich Informatik, Univ. Kaiserslautern####1989#####
+#123/1142##Avenhaus, J##Riduktionssysteme##########
+#123/1142##Avenhaus, J##Termerstzungssysteme##########
+#123/1142##Avenhaus, Jurgen##Reduktionssysteme II####1--119#1989#####
+#123/1142##Avenhaus, J##Reduktionssysteme#####1983#####
+#123/1142##Avenhaus, J||Becker, K##Conditional rewriting modulo a built-in algebra#Univ. Kaiserslautern, Fachbereich Informatik####1992#http://books.google.com.br/books?id=fR1ZYgEACAAJ#SEKI-Projekt: SEKI report###
+#123/1142##Avenhaus, J||Denzinger, J#GI-Fachgruppe 'Deduktionssysteme#"Informal Proceedings of the Annual Meeting ""GI-Fachgruppe 'Deduktionssysteme'"" in Kaiserslautern"####1--27#1993#####
+#123/1142##Avenhaus, J||Madlener, K##A Survey on term Rewriting and Equational Reasoning####1--42######
+#123/1142##Avenhaus, J||Madlener, K##Term Rewriting and Equational Reasoning#Formal Techniques in Artificial Intelligence###1--43#1990#####
+#123/1142##Avenhaus, J||Madlener, K||Otto, Friedrich##Groups Presented by Infinite Two-Monadic Church-Rosser Thue Systems#Transactions of the American Mathematical Society#297#2#427--443#1986#####
+#123/1142##Ayala Rincon, Mauricio##Church-Rosser Property for Conditional Rewriting Systems with Built-in Predicates as Premises####17--37######
+#123/1142##Ayala Rincon, Mauricio##Conditional Rewriting Systems with Built-in Predicates and Conjunctions of Standard Premises as Conditions####1--17#1992####We study the notions of conditional rewriting systems (CRS) with built-in predicates as conditions and extend some results from the standart theory of conditional rewriting (by standard CRS we means CRS where conditions are equations treated by joinability). We combine built-in predicates and standard premises as conditions of the rules in a class of CRS, which we have denominated BIS-CRS. A rewriting algorithm for this class of CRS is developed and conditions for its completeness and termination are given.#
+#123/1142##Ayala Rincon, Mauricio##Built-in Conditional Rewriting Systems####1--12#1991####We introduce the notions of Conditional Rewriting Systems (CRS) with built-in predicates in the premises and extend some theorems from the standard theory of Conditional Rewriting. A rewriting algorithm for CRS with some built-in predicates and standard conditions in the premises is developed and conditions for its completeness and termination are given.#
+#123/1142##Ayala Rincon, Mauricio##Transformacion de especificaciones condicionales en especificaciones no condicionales: Sobre la eliminacion de las condiciones####1--25#1990####Se estudian algunos casos en que las especificaciones ecuacionales condicionales y los sistemas de reescritura condicionales pueden ser tranformados sintaticamente en sistemas no condicionales. En particular se estudian condiciones que permiten transformar conservativamente ciertos sistemas meta-condicionales donde las condiciones se encuentran en una teoria basica decidible.#
+#123/1142##Ayala-Rincón, Mauricio##Problemas Actuales en el Campo de la Reescritura#Escuela Colombiana de Ingineria###27--31#1993#####
+#123/1142##Ayala-Rincón, Mauricio##Algunos Aspectos de la Teoria de Bifurcaciones#####1986#####
+#123/1142##Ayala-Rincón, Mauricio##Generador de Evaluadores para Gramaticas con Atributos Furtemente No-Circulares#####1985#####
+#123/1142##Ayala-Rincón, Mauricio||de Araújo, Ivan E Tavares##Unification Modulo Presburger Arithmetic and Other Decidable Theories#Revista Colombiana de Computaci\{ó\}n#2#2##2001#####
+#123/1142##Ayala-Rincón, Mauricio||Conejo, Paulo D##A Linear Time Lower Bound on McCreight and General Updating Algorithms for Suffix Trees#Algorithmica#37#3#233--241#2003#http://dx.doi.org/10.1007/s00453-003-1034-5####
+#123/1142##Ayala-Rincón, Mauricio||Fernandez, Maribel||Nantes Sobrinho, Daniele##A Proof of Polinomiality of Elementary Deduction Problem for Electronic Purse Protocols with Blind Signatures#L. J. of the IGLP###1--36######
+#123/1142##Ayala-Rincón, Mauricio||da Fonseca, Alexsandro F||Poubel, Haydée Werneck||Siqueira, José##A Framework to Visualize Equivalences Between Computational Models of Regular Languages#Inf. Process. Lett., Elsevier North-Holland, Inc.#84#1#5--16#2002#http://dx.doi.org/10.1016/S0020-0190(02)00223-5####automata theory||formal languages||visualization||algorithm animation
+#123/1142##Ayala-Rincón, Mauricio||Kamareddine, Fairouz##Unification via lambdase-Style of Explicit Substitution#Logic Journal of the IGPL###1--41#2001#####
+#123/1142##Ayala-Rincón, Mauricio||de Moura, Flávio L C||Kamareddine, Fairouz##Comparing and implementing calculi of explicit substitutions with eta-reduction#Annals of Pure and Applied Logic#134#1#5--41#2005#http://www.sciencedirect.com/science/article/pii/S0168007204001411###Papers presented at the 9th Workshop on Logic, Language, Information and Computation (WoLLIC’2002) Papers presented at the 9th Workshop on Logic, Language, Information and Computation (WoLLIC’2002); The past decade has seen an explosion of work on calculi of explicit substitutions. Numerous works have illustrated the usefulness of these calculi for practical notions like the implementation of typed functional programming languages and higher order proof assistants. It has also been shown that eta-reduction is useful for adapting substitution calculi for practical problems like higher order unification. This paper concentrates on rewrite rules for eta-reduction in three different styles of explicit substitution calculi: $\lambda$ $\sigma$ , $\lambda$ s e and the suspension calculus. Both $\lambda$ $\sigma$ and $\lambda$ s e when extended with eta-reduction rules, have proved useful for solving higher order unification. We enlarge the suspension calculus with an adequate eta-reduction rule which we show to preserve termination and confluence of the associated substitution calculus and to correspond to the eta rules of the other two calculi. We prove that $\lambda$ $\sigma$ and $\lambda$ s e as well as $\lambda$ $\sigma$ and the suspension calculus are non-comparable while $\lambda$ s e is more adequate than the suspension calculus in simulating one-step beta-reduction. After defining the eta-reduction rule in the suspension calculus, and after comparing these three calculi of explicit substitutions (all with an eta rule), we then concentrate on the implementation of the rewrite rules of eta-reduction in these calculi. We note that it is usual practice when implementing the eta rule for substitution calculi, to mix isolated applications of eta-reduction with the application of other rules of the corresponding substitution calculi. The main disadvantage of this practice is that the eta rewrite rules so obtained are unclean because they have an operational semantics different from that of the eta-reduction of the $\lambda$ -calculus. For the three calculi in question enlarged with adequate eta rules we show how to implement these eta rules. For the $\lambda$ s e we build a clean implementation of the eta rule and we prove that it is not possible to follow the same approach for the $\lambda$ $\sigma$ and $\lambda$ susp .#Eta-reduction||Explicitsubstitutions||$\lambda$-calculi
+#123/1142##Ayala-Rincón, Mauricio||Munoz, Cesar##Explicit Substitutions and All That#Revista Colombiana de Computación#1#1#47--71#2000#####
+#123/1142##Ayala-Rincón, Mauricio||Munoz, Cesar##Explicit Substitutions and All That#ICASE###1--22#2000#####
+#123/1142#0-7695-2009-X#Ayala-Rincón, Mauricio||Nogueira, Rodrigo B||Llanos, Carlos H||Jacobi, Ricardo P||Hartenstein, Reiner W#Proceedings of the 16th Symposium on Integrated Circuits and Systems Design#Modeling a Reconfigurable System for Computing the FFT in Place via Rewriting-Logic#IEEE Computer Society###205----#2003#http://dl.acm.org/citation.cfm?id=942808.943990#SBCCI '03###
+#123/1142##Ayala-rincon, Mauricio||Hartenstein, Reiner W||Jacobi, Ricardo P||Llanos, Carlos H||de Queroz, Wander J||Queroz, Er J De##Designing Arithmetic Digital Circuits via Rewriting-Logic#####2002#####
+#123/1142##Ayala-Rincon, Mauricio||Kamareddine, Fairouz##On Applying the lambda se-Style of Unification for Simply-Typed Higher Order Unification in the Pure lambda-calculus####1--24######
+#123/1142##Ayala-Rincon, M||Nogueira, R B||Llanos, C||Jacobi, R P||Hartenstein, R W##Efficient Computation of Algebraic Operations over Dynamically Reconfigurable Systems Specified by Rewriting-Logic Environments#####2003#####
+#123/1142##Bóna, Miklós||Flynn, Ryan##The average number of block interchanges needed to sort a permutation and a recent result of Stanley.#Inf. Process. Lett.#109#16#927--931#2009#"http://dblp.uni-trier.de/db/journals/ipl/ipl109.html\#BonaF09"####
+#123/1142#3-540-60381-6#Bündgen, Reinhard#Proceedings of the 4th International Workshop on Conditional and Typed Rewriting Systems#Preserving Confluence for Rewrite Systems with Built-in Operations#Springer-Verlag###1--5#1995#http://dl.acm.org/citation.cfm?id=648340.756220#CTRS '94###
+#123/1142##Bürckert, Hans-Jürgen#CADE#A Resolution Principle for Clauses with Constraints####178--192#1990#####
+#123/1142##Bürckert, Hans-Jürgen##Matching — A special case of unification?#Journal of Symbolic Computation#8#5#523--536#1989#http://www.sciencedirect.com/science/article/pii/S0747717189800574###Unification is the problem to solve equations of first order terms by finding (all) substitutions into their variables that make these two terms equal. Matching is the problem to solve equations, where only one of the terms has to be instantiated by the substitution. Usually research in unification theory does not take care of the problems arising with matching, as it is considered as a special form of unification. We recall the various definitions of matching from the literature and we compare matching and unification in a more general framework called restricted unification. We show that matching and unification in collapse free cquational theories behave similar with respect to the existence and the cardinality of minimal complete sets of solutions. We present some counterexamples where matching and unification behave differently, especially we give an equational theory, in which the existence of solutions for unification problems is decidable, for matching problems, however, this is undecidable. Matching and restricted unification as defined here are equivalent to extending the given signature by free constants. Our counterexamples show that unification may become undecidable, if we add new free constants to the signature.#collapse free theory||equational theory||matching||restricted unification||unification
+#123/1142##Baader, Franz#18th International Conference , RTA 2007#Term Rewriting and Applications####1--418#2007#####
+#123/1142##Baader, Franz#19th International Conference on Automated Deduction#Automated Deduction - CADE-19####1--502#2003#####
+#123/1142##Baader, Franz||Voronkov, Andrei#11th International Conference, LPAR 2004#Logic for Programming, Artificial Intelligence, and Reasoning####1--562#2005#####
+#123/1142##Bachmair, Leo#11th International Conference, RTA 2000#Rewriting Techniques and Applications####1--273#2000#####
+#123/1142##Bachmair, Leo#LICS#Proof by Consistency in Equational Theories####228--233#1988#####
+#123/1142##Bachmair, Leo||Dershowitz, Nachum##Equational Inference, Canonical Proofs, and Proof Orderings#J. ACM#41#2#236--276#1994#http://doi.acm.org/10.1145/174652.174655####inference systems||proof theory||rewrite systems||term orderings||term rewriting||equational logic
+#123/1142#0-262-56058-5#Bachmair, Leo||Ganzinger, Harald#ICLP#Perfect Model Semantics for Logic Programs with Equality.#MIT Press###645--659#1991#"http://dblp.uni-trier.de/db/conf/iclp/iclp91.html\#BachmairG91"##Furukawa, Koichi##
+#123/1142##Bachmair, Leo||Ganzinger, Harald##Associative-commutative superposition#Max-Planck-Institut f\{ü\}r Informatik##MPI-I-93-267#1--6#1993####Revised version in Proc.\~{}CTRS, LNCS 968#
+#123/1142#0-387-52885-7#Bachmair, Leo||Ganzinger, Harald#Proceedings of the Tenth International Conference on Automated Deduction#On Restrictions of Ordered Paramodulation with Simplification#Springer-Verlag New York, Inc.###427--441#1990#http://dl.acm.org/citation.cfm?id=89617.89652#CADE-10###
+#123/1142#3-540-55602-8#Bachmair, Leo||Ganzinger, Harald||Lynch, Christopher||Snyder, Wayne#Proceedings of the 11th International Conference on Automated Deduction: Automated Deduction#Basic Paramodulation and Superposition#Springer-Verlag###462--476#1992#http://dl.acm.org/citation.cfm?id=648230.752617#CADE-11###
+#123/1142##Bachmair, Leo||Ganzinger, Harald||Waldmann, Uwe##Theorem Proving for Hierarchic First-Order Theories#Applicable Algebra in Engineering, Communication and Computing#5##193--212#1994#####Algebraic specification||Constraints||Quantifier elimination||Resolution||Superposition||Term rewriting||Theorem proving
+#123/1142#3-540-00623-0#Backes, Michael#STACS#Cryptographically Sound and Machine-Assisted Verification of Security Protocols.#Springer#2607##675--686#2003#"http://dblp.uni-trier.de/db/conf/stacs/stacs2003.html\#BackesJ03"#Lecture Notes in Computer Science#Alt, Helmut & Habib, Michel##
+#123/1142##Backes, Michael||Pfitzmann, Birgit||Waidner, Michael##A Universally Composable Cryptographic Library.#IACR Cryptology ePrint Archive#2003##15#2003#"http://dblp.uni-trier.de/db/journals/iacr/iacr2003.html\#BackesPW03"####
+#123/1142#3-540-43928-5#Backes, Michael, Christian Jacobi||Pfitzmann, Birgit#FME#Deriving Cryptographically Sound Implementations Using Composition and Formally Verified Bisimulation.#Springer#2391##310--329#2002#"http://dblp.uni-trier.de/db/conf/fm/fme2002.html\#BackesJP02"#Lecture Notes in Computer Science#Eriksson, Lars-Henrik & Lindsay, Peter A##
+#123/1142##Bader, David A||Moret, Bernard M E||Yan, Mi##A Linear-Time Algorithm for Computing Inversion Distance between Signed Permutations with an Experimental Study.#Journal of Computational Biology#8#5#483--491#2001#"http://dblp.uni-trier.de/db/journals/jcb/jcb8.html\#BaderMY01"####
+#123/1142##Bader, Martin||Ohlebusch, Enno##Sorting by Weighted Reversals, Transpositions, and Inverted Transpositions.#Journal of Computational Biology#14#5#615--636#2007#"http://dblp.uni-trier.de/db/journals/jcb/jcb14.html\#BaderO07"####
+#123/1142##Baeza-Yates, Ricardo#Fourth South American Workshop on String Processing WSP 1997#International Informatics Series 8####1--197#1997#####
+#123/1142##Bafna, Vineet||Gusfield, Dan||Hannenhalli, Sridhar||Yooseph, Shibu##A Note on Efficient Computation of Haplotypes via Perfect Phylogeny.#Journal of Computational Biology#11#5#858--866#2004#"http://dblp.uni-trier.de/db/journals/jcb/jcb11.html\#BafnaGHY04"####
+#123/1142##Bafna, Vineet||Pevzner, Pavel A##Genome Rearrangements and Sorting by Reversals#SIAM J. Comput., Society for Industrial and Applied Mathematics#25#2#272--289#1996#http://dx.doi.org/10.1137/S0097539793250627####genomere arrangements||sorting by reversals||computational molecular biology
+#123/1142##Bafna, Vineet||Pevzner, Pavel A#SODA#Sorting Permutations by Transpositions####614--623#1995#####
+#123/1142##Bafna, Vineet||Pevzner, Pavel A#FOCS#Genome Rearrangements and Sorting by Reversals#IEEE Computer Society###148--157#1993#"http://dblp.uni-trier.de/db/conf/focs/focs93.html\#BafnaP93"####
+#123/1142##van Bakel, Steffen##Intersection type assignment systems#Theoretical Computer Science#151#2#385--435#1995#http://www.sciencedirect.com/science/article/pii/0304397595000736###13th Conference on Foundations of Software Technology and Theoretical Computer Science; This paper gives an overview of intersection type assignment for the Lambda Calculus, as well as compares in detail variants that have been defined in the past. It presents the essential intersection type assignment system, that will prove to be as powerful as the well-known BCD-system. It is essential in the following sense: it is an almost syntax directed system that satisfies all major properties of the BCD-system, and the types used are the representatives of equivalence classes of types in the BCD-system. The set of typeable terms can be characterized in the same way, the system is complete with respect to the simple type semantics, and it has the principal type property.#
+#123/1142##Bakel, Steffen Van||Dezani-Ciancaglini, Mariangiola##Characterising Strong Normalisation for Explicit Substitutions#####2002#####
+#123/1142##Baker, Mark A||Mills, Hugo||Smith, Garry||Grove, Matthew||Lakhoo, Rahim||Albing, Carl##Using a RESTful messaging and registry system to support a range a distributed applications#Revista Colombiana de Computación#11#2##2010#####
+#123/1142##Balbes, Raymond||Horn, Alfred##Stone lattices#Duke Mathematical Journal, Duke University Press#37#3#537--545#1970#http://dx.doi.org/10.1215/S0012-7094-70-03768-3####
+#123/1142##Balbiani, Philippe#CTRS#Equation Solving in Geometrical Theories####1--4#1994#####
+#123/1142#0-7695-0665-8#Balfanz, Dirk||Dean, Drew||Spreitzer, Mike#IEEE Symposium on Security and Privacy#A Security Infrastructure for Distributed Java Applications.#IEEE Computer Society###15--26#2000#"http://dblp.uni-trier.de/db/conf/sp/sp2000.html\#BalfanzDS00"####
+#123/1142##Balthazar, J.M.||Gomes, S.M.||Sri Ranga, A#XXII Congresso Nacional de Matematica Aplicada e Computacional#TEMA - Tendencias em Matematica Aplicada e Computacional - Vol. 1.1####1--266#2000#####
+#123/1142#1848009976, 9781848009974#Bang-Jensen, Jrgen||Gutin, Gregory Z##Digraphs: Theory, Algorithms and Applications#Springer Publishing Company, Incorporated###1--795#2008#####
+#123/1142##Barendregt, Henk||Coppo, Mario||Dezani-Ciancaglini, Mariangiola##A Filter Lambda Model and the Completeness of Type Assignment#Journal of Symbolic Logic#48#4#931--940#1983#####
+#123/1142##Barros e Barbosa, Wellington##Uma Modelagem Categorica para a Modularidade da Confluencia em Sistemas de Reescrita de Termos####1--64#2001#####
+#123/1142#978-1-60558-379-2#Barthe, Gilles||Grégoire, Benjamin||Zanella Béguelin, Santiago#Proceedings of the 36th Annual ACM SIGPLAN-SIGACT Symposium on Principles of Programming Languages#Formal Certification of Code-based Cryptographic Proofs#ACM###90--101#2009#http://doi.acm.org/10.1145/1480881.1480894#POPL '09###cryptographic proofs||observational equivalence||program transformations||relational hoare logic||coq proof assistant
+#123/1142##Barzdin, J M#IFIP Congress#Some Rules of Inductive Inference and their Use for Program Synthesis####333--338#1983#####
+#123/1142#3-540-60381-6#Basin, David A||Walsh, Toby#CTRS#A Calculus for Rippling.#Springer#968##1--6#1994#"http://dblp.uni-trier.de/db/conf/ctrs/ctrs94.html\#BasinW94"#Lecture Notes in Computer Science#Dershowitz, Nachum & Lindenstrauss, Naomi##
+#123/1142##Basin, David||Rusinowitch, Michaël#Second International Joint Conference, IJCAR 2004#Automated Reasoning####1--491#2004#####
+#123/1142##Bavarius, Von Nikolaus##Com.pu.ter####1--95######
+#123/1142##Becker, Jürgen##"Dagstuhl-Seminar ""Dynamically and Partially Reconfigurable Architectures""."#it - Information Technology#46#4#218--225#2004#"http://dblp.uni-trier.de/db/journals/it/it46.html\#Becker04"####
+#123/1142##Becker, Jürgen||Hartenstein, Reiner##Configware and Morphware Going Mainstream#J. Syst. Archit., Elsevier North-Holland, Inc.#49#6/4/2015#127--142#2003#http://dx.doi.org/10.1016/S1383-7621(03)00073-0####
+#123/1142#0-7695-0668-2#Becker, Jürgen||Kabulepa, Lukusa D||Renner, Frank-Michael||Glesner, Manfred#IEEE International Workshop on Rapid System Prototyping#Simulation and Rapid Prototyping of Flexible Systems-on-a-Chip for Future Mobile Communication Applications.#IEEE Computer Society###160--#2000#"http://dblp.uni-trier.de/db/conf/rsp/rsp2000.html\#BeckerKRG00"####
+#123/1142##Becker, Jürgen||Pionteck, Thilo||Habermann, Christian||Glesner, Manfred#Proceedings of the IEEE Computer Society Workshop on VLSI 2001#Design and Implementation of a Coarse-Grained Dynamically Reconfigurable Hardware Architecture#IEEE Computer Society###41----#2001#http://dl.acm.org/citation.cfm?id=882517.885572#WVLSI '01###
+#123/1142##Becker, Jurgen||Woods, Roger||Athanas, Peter||Morgan, Fearghal#5th International Workshop, ARC 2009#Reconfigurable Computing: Architectures, Tools and Applications####1--385#2009#####
+#123/1142#3-540-56393-8#Becker, Klaus#Proceedings of the Third International Workshop on Conditional Term Rewriting Systems#Semantics for Positive/Negative Conditional Rewrite Systems#Springer-Verlag###213--225#1993#http://dl.acm.org/citation.cfm?id=648339.756201#CTRS '92###
+#123/1142##Becker, Klaus#TAPSOFT#Proving Ground Confluence and Inductive Validity in Constructor Based Equational Specifications####46--60#1993#####
+#123/1142##Beckmann, Arnold||Dimitracopoulos, Costas||Lowe, Benedikt#4th Conference on Computability in Europe, CiE 2008#Logic and Theory of Algorithms####1--596#2008#####
+#123/1142##Beckmann, Arnold||Dimitracopoulos, Costas||Lowe, Benedikt#Fourth Conference on Compputability in Europe, CiE 2008#Logic and Theory of Algotithms####1--517#2008#####
+#123/1142#0-8186-8900-5#Bellows, P||Hutchings, B#Proceedings of the IEEE Symposium on FPGAs for Custom Computing Machines#JHDL - An HDL for Reconfigurable Systems#IEEE Computer Society###175----#1998#http://dl.acm.org/citation.cfm?id=795657.795802#FCCM '98###
